transaction_id,account_id,transaction_type,transaction_amount,balance_before,balance_after,channel,location,timestamp,is_fraud
T00001,A1052,withdrawal,4491.83,4759.02,267.1900000000005,mobile,Harare,2025-04-29 02:15:31,0
T00002,A1077,withdrawal,666.11,1940.37,1274.2599999999998,branch,Gweru,2025-03-22 14:05:59,0
T00003,A1087,transfer,4453.43,2438.42,-2015.0100000000002,branch,Bulawayo,2025-05-02 15:13:01,1
T00004,A1050,payment,4289.13,9887.1,5597.97,online,Harare,2025-04-08 02:26:27,0
T00005,A1046,deposit,4112.47,7444.33,11556.8,ATM,Bulawayo,2025-04-22 18:38:18,0
T00006,A1035,transfer,4215.59,6817.19,2601.5999999999995,mobile,Bulawayo,2025-04-10 13:35:49,0
T00007,A1045,deposit,2333.33,9750.14,12083.47,ATM,Bulawayo,2025-04-18 15:29:00,0
T00008,A1032,transfer,4133.86,8236.82,4102.96,ATM,Harare,2025-04-06 21:02:04,0
T00009,A1018,withdrawal,1027.08,1102.65,75.57000000000016,ATM,Mutare,2025-04-21 06:21:52,0
T00010,A1067,transfer,2087.01,4692.21,2605.2,ATM,Gweru,2025-04-12 10:11:21,0
T00011,A1076,payment,257.39,5298.03,5040.639999999999,mobile,Masvingo,2025-04-15 17:04:30,0
T00012,A1073,payment,824.5,1429.14,604.6400000000001,mobile,Gweru,2025-04-24 14:06:34,0
T00013,A1066,withdrawal,27.21,1523.02,1495.81,ATM,Harare,2025-04-27 05:02:06,0
T00014,A1091,payment,5931.75,2659.85,-3271.9,mobile,Bulawayo,2025-04-15 19:39:16,1
T00015,A1088,payment,5504.42,8611.43,3107.01,online,Bulawayo,2025-03-30 18:44:44,0
T00016,A1036,transfer,2170.1,7405.36,5235.26,branch,Gweru,2025-04-07 18:58:35,0
T00017,A1043,withdrawal,2973.72,1347.33,-1626.3899999999999,online,Masvingo,2025-04-10 11:23:24,1
T00018,A1081,payment,1515.0,6547.19,5032.19,mobile,Gweru,2025-04-19 03:38:54,0
T00019,A1018,withdrawal,3465.49,4722.85,1257.3600000000006,mobile,Harare,2025-05-11 14:53:55,0
T00020,A1035,deposit,2293.14,4266.78,6559.92,mobile,Mutare,2025-04-16 20:02:08,0
T00021,A1044,payment,4660.92,686.37,-3974.55,ATM,Bulawayo,2025-04-20 04:40:08,1
T00022,A1096,payment,5458.81,9463.84,4005.0299999999997,mobile,Gweru,2025-03-29 09:23:57,0
T00023,A1051,deposit,4772.78,6544.07,11316.849999999999,ATM,Bulawayo,2025-05-17 05:34:02,0
T00024,A1079,payment,4089.53,3610.36,-479.1700000000001,ATM,Gweru,2025-04-11 21:38:23,1
T00025,A1092,withdrawal,3539.48,2171.89,-1367.5900000000001,mobile,Harare,2025-03-27 18:30:32,1
